Position,Handicap,Penalty,Division,BoatType,Category,Name,Club,Number,VetClass,Gender,BoatNumber,1000m,End,Raw Time,Total
1,"0","0","4","8+","Stu First Boat","Emma M1","Emmanuel","403",,"Male","403",0:03:30.2,0:08:27.4,0:08:27.4,0:08:27.4
2,"0","0","3","8+","CRA Champ","Heartbreaker","City of Cambridge","301",,"Male","301",0:03:33.0,0:08:32.8,0:08:32.8,0:08:32.8
3,"0","0","3","8+","BR Senior","LightAndFast","Heidelberger Ruderklub","302",,"Male","302",0:03:33.9,0:08:33.8,0:08:33.8,0:08:33.8
4,"0","0","5","8+","Stu First Boat","M1","Selwyn College","503",,"Male","503",0:03:38.6,0:08:39.7,0:08:39.7,0:08:39.7
5,"0","0","1","8+","CRA Club A","Dreammaker","City of Cambridge","102",,"Male","102",0:03:37.0,0:08:40.1,0:08:40.1,0:08:40.1
6,"0","0","2","8+","Stu First Boat","CAIUS M1","Caius","201",,"Male","201",0:03:37.2,0:08:41.0,0:08:41.0,0:08:41.0
7,"0","0","3","8+","Stu First Boat","JCBC M1","Jesus College","303",,"Male","303",0:03:40.2,0:08:47.9,0:08:47.9,0:08:47.9
8,"0","0","2","8+","Stu First Boat","Downing M1","Downing College","204",,"Male","204",0:03:39.6,0:08:48.5,0:08:48.5,0:08:48.5
9,"0","0","3","8+","Stu First Boat","M1","Peterhouse","304",,"Male","304",0:03:44.3,0:08:57.8,0:08:57.8,0:08:57.8
10,"0","0","2","8+","Stu First Boat","M1","Clare","203",,"Male","203",0:03:43.3,0:09:00.1,0:09:00.1,0:09:00.1
11,"77","0","5","8+","CRA Master","Harlequins","Cantabrigian","512","G","Male","512",0:04:22.6,0:10:20.2,0:10:20.2,0:09:03.2
12,"0","0","4","8+","Stu First Boat","M1","Queens' College","404",,"Male","404",0:03:45.4,0:09:06.4,0:09:06.4,0:09:06.4
13,"0","0","1","4+","Stu First Boat","Magdalene M1","Magdalene","135",,"Male","135",0:03:48.0,0:09:10.9,0:09:10.9,0:09:10.9
14,"0","0","5","4-","CRA Club A","Sen Men","Cantabrigian","6",,"Male","6",0:03:49.3,0:09:11.9,0:09:11.9,0:09:11.9
15,"0","0","5","8+","CRA Club A","Hills Boys 1","Cantabrigian","502",,"Male","502",0:03:52.0,0:09:13.4,0:09:13.4,0:09:13.4
16,"0","0","1","8+","Stu First Boat","Fitzwilliam M1","Fitzwilliam College","105",,"Male","105",0:03:50.0,0:09:13.6,0:09:13.6,0:09:13.6
17,"0","0","2","8+","Stu First Boat","Christ's M1","Christ's College","206",,"Male","206",0:03:49.8,0:09:13.6,0:09:13.6,0:09:13.6
18,"0","0","2","4x","CRA J18","A","Cambridge 99","225",,"Male","225",0:03:55.6,0:09:14.9,0:09:14.9,0:09:14.9
